step,epoch,lr,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
51,51,0.002500000000000002,0.024693569493293762,0.9918,0.045981699574738744,0.988,1744268656.9679399,2025/04/10 16:04:16,636.9967947006226,10.6m
52,52,0.002421473102304681,0.02792066549360752,0.9908,0.03225037750788033,0.9905,1744268669.4280791,2025/04/10 16:04:29,649.4569339752197,10.8m
53,53,0.0023430237011767183,0.021112624506652355,0.9925,0.033504103839397434,0.9905,1744268681.9089346,2025/04/10 16:04:41,661.937789440155,11.0m
54,54,0.002264729216703716,0.02270887494534254,0.9908,0.032235963098704815,0.9895,1744268694.4711883,2025/04/10 16:04:54,674.5000431537628,11.2m
55,55,0.0021866669160892412,0.01993434235006571,0.9927,0.03467188085615635,0.989,1744268707.0626037,2025/04/10 16:05:07,687.0914585590363,11.5m
56,56,0.0021089138373994246,0.017673675978928806,0.9926,0.040930972151458266,0.991,1744268719.7265005,2025/04/10 16:05:19,699.7553553581238,11.7m
57,57,0.00203154671353569,0.02138204268272966,0.9933,0.030989298179745675,0.99,1744268732.2853792,2025/04/10 16:05:32,712.3142340183258,11.9m
58,58,0.001954641896508646,0.016735500177973883,0.9938,0.03299422252550721,0.9905,1744268744.9083967,2025/04/10 16:05:44,724.9372515678406,12.1m
59,59,0.0018782752820878643,0.019492904052883387,0.9932,0.03911341069638729,0.988,1744268757.7559931,2025/04/10 16:05:57,737.7848479747772,12.3m
60,60,0.0018025222349019286,0.01935262065413408,0.9927,0.03810598778538406,0.99,1744268770.3836923,2025/04/10 16:06:10,750.4125471115112,12.5m
61,61,0.0017274575140626336,0.012977077577263118,0.9955,0.04569730565149803,0.989,1744268782.860808,2025/04/10 16:06:22,762.8896627426147,12.7m
62,62,0.001653155199386773,0.02479613545536995,0.9913,0.04644830495119095,0.9895,1744268795.2787337,2025/04/10 16:06:35,775.3075885772705,12.9m
63,63,0.0015796886182883072,0.021788143770373428,0.9926,0.03828152860677801,0.9895,1744268807.6474829,2025/04/10 16:06:47,787.6763377189636,13.1m
64,64,0.0015071302734130493,0.01640182824805379,0.9936,0.04322202244028449,0.988,1744268820.327866,2025/04/10 16:07:00,800.3567209243774,13.3m
